,Borough,OSM_id
0,Barking_and_Dagenham,185483
1,Barnet,51831
2,Bexley,51903
3,Brent,75767
4,Bromley,152126
5,Camden,51827
6,Croydon,51907
7,Ealing,181321
8,Enfield,51841
9,Greenwich,51902
10,Hackney,51806
11,Hammersmith_and_Fulham,184484
12,Haringey,51814
13,Harrow,181292
14,Havering,185478
15,Hillingdon,183779
16,Hounslow,51848
17,Islington,51821
18,Kensington_and_Chelsea,51793
19,Kingston_upon_Thames,51909
20,Lambeth,184710
21,Lewisham,184724
22,Merton,51905
23,Newham,185505
24,Redbridge,65598
25,Richmond_upon_Thames,151795
26,Southwark,8450265
27,Sutton,17529
28,Tower_Hamlets,51805
29,Waltham_Forest,65595
30,Wandsworth,51906
31,Westminster,51781
32,Cheshire_East,153487
33,Cheshire_West_and_Chester,153488
34,Halton,147284
35,Warrington,147278
36,Cumbria,88065
37,Greater_Manchester,88084
38,Lancashire,88081
39,Blackpool,148603
40,Blackburn_with_Darwen,148780
41,Merseyside,147564